temp,type,sales
2.9,choco,25.448083930243584
7.1,vanilla,34.67683707599713
2.6,vanilla,26.69284005728639
13.9,vanilla,57.190528908001916
12.4,vanilla,50.39342204269832
7.0,vanilla,37.3214239318146
4.5,choco,25.370989628360675
23.9,vanilla,73.37831282707057
16.1,choco,66.82136687742994
6.0,choco,29.7108795339118
12.1,choco,51.022651172168295
24.5,vanilla,84.10127151455815
22.3,vanilla,75.42371955462943
2.0,vanilla,25.245622418158966
-0.3,choco,18.54758912915246
13.1,vanilla,56.04633055596157
22.9,choco,76.51383565199139
25.7,vanilla,82.84247304368589
-1.3,choco,21.319089569224076
10.2,vanilla,43.42127121421804
5.9,vanilla,32.79001230227887
-3.0,choco,14.443065614302078
17.8,vanilla,66.38503652779283
22.0,vanilla,76.55803954272352
6.3,choco,37.585028866522606
3.7,vanilla,27.29519895718255
7.7,choco,42.26059869367607
8.4,choco,33.140764687730766
8.5,vanilla,41.84717908672041
20.6,vanilla,72.43272269679402
10.6,choco,46.51534036992738
19.4,vanilla,66.80882634158807
22.8,vanilla,75.7963385843425
-0.3,vanilla,16.43652488025463
23.7,choco,81.12700204329502
9.6,vanilla,44.8429756032051
9.2,choco,41.44518934517906
23.0,choco,77.26869487175769
6.5,choco,35.322362872446355
14.7,vanilla,57.72249905746533
4.4,vanilla,24.924572240027178
14.7,choco,56.64586469088427
6.1,vanilla,38.00358584116433
24.4,choco,82.41971287372064
25.1,choco,85.31919638297042
19.7,choco,64.42755029631631
23.0,vanilla,81.85343082338512
4.5,vanilla,29.264640605694836
20.1,vanilla,65.90574697550802
10.8,vanilla,45.31945687940909
6.8,choco,39.92663538136708
18.9,vanilla,68.48879436282687
26.2,choco,85.674626155338
5.1,vanilla,31.746496292477154
22.8,choco,82.69037894796185
6.4,vanilla,34.54729778140125
17.8,choco,59.848009706801605
0.4,vanilla,22.545143058918143
21.2,choco,78.59732353343426
9.8,vanilla,42.731905729167366
14.7,choco,60.178468443545064
20.0,choco,72.34546861533192
23.7,vanilla,76.73083447345768
20.3,vanilla,68.5946673362427
22.8,vanilla,77.03777720234538
4.6,vanilla,34.05730000438867
26.0,vanilla,79.86059641272738
19.8,choco,70.05390157559691
15.2,choco,55.27183763561578
16.0,choco,61.760571281400814
10.7,choco,46.046238599874556
6.8,vanilla,34.219208585265754
3.2,vanilla,30.038793246804026
5.0,vanilla,28.89911077883267
22.9,vanilla,77.5430282956465
14.3,vanilla,55.81301152489828
10.7,vanilla,48.638886525770836
22.0,choco,72.07595498931803
15.4,choco,62.7083829328083
6.8,choco,35.56247728646413
21.2,vanilla,72.94446059202284
17.9,choco,61.563088858821686
14.7,choco,53.24396588714141
14.3,choco,56.65464202700084
3.5,vanilla,26.55890010484859
17.9,vanilla,64.97741367458119
20.6,choco,72.25147855103764
25.7,choco,85.40595213918651
8.3,vanilla,36.44241354646168
9.8,choco,42.39384071836794
17.0,choco,60.80110681119169
6.1,vanilla,41.6164685910379
1.0,vanilla,24.454173753917395
2.5,vanilla,29.5168517909021
0.7,vanilla,33.308194471964164
22.8,choco,78.23834278080949
2.6,vanilla,23.26676566621208
19.5,choco,69.43237980381238
24.8,choco,80.66045514379894
18.4,choco,63.65024012299129
11.5,choco,48.266142865001974
9.7,vanilla,43.625633248928175
1.4,vanilla,25.776907661479804
-3.7,choco,10.335207096486446
22.3,vanilla,80.34821673900774
6.0,vanilla,31.217348136994865
2.0,vanilla,31.943975700020527
8.7,choco,40.8529779486024
4.9,choco,31.90305515283528
10.6,vanilla,47.42189856262983
8.9,vanilla,42.590552035753745
3.7,choco,26.0768672131323
2.5,vanilla,21.411852386431043
18.4,vanilla,63.523508409622465
22.4,choco,78.89012838773297
6.3,choco,38.842998567487854
23.0,choco,78.52345592444993
11.2,choco,46.97185645041969
-0.5,vanilla,14.616991896128727
21.1,vanilla,72.69295137629193
23.1,vanilla,84.20954737253467
6.1,choco,34.09475315875105
